v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326,wkt_srid_3857,degree,betweenness_centrality_node,clustering_coefficient
107,7.12557294579876,51.4489772806916,substation,380000;220000,50,Station Eiberg,RWE,,SRID=4326;POINT(7.12557294579876 51.4489772806916),SRID=3857;POINT(793215.151936644 6701100.18616622),7,0.1111936349243093,0.047619047619047616
108,6.99606886995841,51.5141696109019,substation,380000;110000,50,Station Karnap,,,SRID=4326;POINT(6.99606886995841 51.5141696109019),SRID=3857;POINT(778798.824158444 6712753.31944486),1,0.0,0.0
109,7.31318287435069,51.4466114132712,substation,380000,50,Witten,RWE,,SRID=4326;POINT(7.31318287435069 51.4466114132712),SRID=3857;POINT(814099.793650806 6700677.60023477),3,0.011214782926321262,0.0
110,7.99288732000281,51.6837077158762,substation,380000,50,Station Uentrop,RWE,,SRID=4326;POINT(7.99288732000281 51.6837077158762),SRID=3857;POINT(889764.146430726 6743136.56132211),8,0.06094408158492843,0.07142857142857142
111,8.62480055555283,51.4278884079658,substation,380000;110000,50,Station Nehden,Amprion,,SRID=4326;POINT(8.62480055555283 51.4278884079658),SRID=3857;POINT(960108.406037683 6697334.11102728),3,0.002829912307385044,0.3333333333333333
112,7.35311188155085,51.5758105365035,substation,380000,50,Station Mengede,RWE,,SRID=4326;POINT(7.35311188155085 51.5758105365035),SRID=3857;POINT(818544.670400209 6723786.98835946),6,0.04865386686507446,0.06666666666666667
113,7.12323886855291,51.5256121997715,substation,380000;110000,50,Station Hüllen,RWE,,SRID=4326;POINT(7.12323886855291 51.5256121997715),SRID=3857;POINT(792955.323646165 6714800.40292274),2,0.022277867022568277,0.0
114,8.2117054289867,51.1779850077285,substation,380000;110000,50,Station Arpe,Amprion,,SRID=4326;POINT(8.2117054289867 51.1779850077285),SRID=3857;POINT(914122.866899159 6652837.80275815),2,0.0,1.0
115,6.57648211320418,51.0555954842661,plant,,,RWE Kraftwerk Frimmersdorf,,,SRID=4326;POINT(6.57648211320418 51.0555954842661),SRID=3857;POINT(732090.640052962 6631133.81838563),3,0.010115862324590308,0.3333333333333333
116,6.77252314401924,51.1471055233119,substation,220000;110000,50,Station Norf,,,SRID=4326;POINT(6.77252314401924 51.1471055233119),SRID=3857;POINT(753913.827777882 6647356.35380258),3,0.004282655246252677,0.3333333333333333
