edge,bet_cen_edge
'(58169, 24365)',0.00148741306509987
'(17039, 20241)',0.0028643461580183513
'(55963, 55964)',0.008983932658892097
'(17229, 23439)',0.0059064855982108545
'(19046, 55432)',0.001081665765278529
'(52476, 52477)',0.0021598196287217378
'(58158, 24365)',0.03527796058749038
'(76123, 77360)',0.0021621608966119516
'(17248, 54918)',0.001081665765278529
'(52554, 52555)',0.002405717435076935
'(55850, 6734)',0.0037678804579832164
'(58482, 58483)',0.02684485573159398
'(16565, 16593)',0.002517594628194953
'(54556, 24524)',0.002162160896611951
'(51949, 16116)',0.003241485394000267
'(53435, 53437)',0.002992530575007589
'(75417, 54485)',0.001081665765278529
'(75438, 23439)',0.00809346904436916
'(77852, 53376)',0.003241485394000267
'(19794, 54734)',0.002162160896611951
'(52330, 52331)',0.004821866157100087
'(20407, 55805)',0.010425332841890067
'(53196, 54321)',0.006372901931311884
'(66063, 24263)',0.004892781636967681
'(58351, 20425)',0.003228608420604094
'(54056, 16113)',0.0077313822098647915
'(16531, 79444)',0.001081665765278529
'(58281, 20450)',0.040096775954478636
