# Edges Betweenness Centrality, Cumulative Propability
0.013980,0.714681
0.013992,0.715143
0.014151,0.715605
0.014155,0.716066
0.014182,0.716528
0.014262,0.716990
0.014294,0.717452
0.014510,0.717913
0.014512,0.718375
0.014570,0.718837
0.014641,0.719298
0.014667,0.719760
0.014701,0.720222
0.014751,0.720683
0.014762,0.721145
0.014789,0.721607
0.014815,0.722068
0.014816,0.722530
0.014836,0.722992
0.014885,0.723453
0.014958,0.723915
0.014985,0.724377
0.015013,0.724838
0.015016,0.725300
0.015037,0.727147
0.015160,0.727608
0.015184,0.728070
0.015264,0.728532
0.015368,0.728994
0.015430,0.729455
0.015450,0.729917
0.015581,0.730379
0.015613,0.730840
0.015660,0.731302
0.015741,0.731764
0.015767,0.732225
0.015788,0.732687
0.015984,0.733149
0.016043,0.733610
0.016045,0.734072
0.016090,0.734534
0.016102,0.736380
0.016104,0.736842
0.016117,0.737304
0.016146,0.737765
0.016229,0.738227
0.016329,0.738689
0.016358,0.739151
0.016433,0.739612
0.016512,0.740074
0.016558,0.740536
0.016583,0.740997
0.016595,0.741459
0.016747,0.741921
0.016762,0.742382
0.016924,0.742844
0.016951,0.743306
0.016994,0.743767
0.017064,0.744229
0.017166,0.744691
0.017166,0.745152
0.017166,0.747461
0.017202,0.748384
0.017225,0.748846
0.017242,0.749769
0.017327,0.750231
0.017413,0.750693
0.017431,0.751154
0.017432,0.751616
0.017673,0.752078
0.017681,0.752539
0.017698,0.753001
0.017722,0.753463
0.017920,0.753924
0.017922,0.754386
0.018030,0.754848
0.018089,0.755309
0.018199,0.755771
0.018229,0.756694
0.018236,0.757156
0.018262,0.757618
0.018365,0.758079
0.018519,0.758541
0.018777,0.759003
0.019064,0.759464
0.019152,0.759926
0.019180,0.760388
0.019196,0.760849
0.019208,0.761311
0.019228,0.761773
0.019291,0.762235
0.019387,0.762696
0.019443,0.763158
0.019448,0.763620
0.019515,0.764081
0.019583,0.764543
0.019615,0.765005
0.019618,0.765466
0.019647,0.765928
0.019687,0.766390
0.019922,0.766851
0.020014,0.767313
0.020085,0.767775
0.020168,0.768236
0.020176,0.768698
0.020203,0.769160
0.020236,0.769621
0.020246,0.770083
0.020256,0.770545
0.020286,0.771006
0.020351,0.771468
0.020377,0.771930
0.020401,0.772392
0.020433,0.772853
0.020448,0.773315
0.020489,0.773777
0.020543,0.774238
0.020696,0.774700
0.020797,0.775162
0.020888,0.775623
0.020937,0.776085
0.020972,0.776547
0.021137,0.777008
0.021203,0.777470
0.021212,0.777932
0.021301,0.778393
0.021332,0.778855
0.021377,0.779317
0.021411,0.779778
0.021509,0.780240
0.021639,0.780702
0.022110,0.781163
0.022228,0.781625
0.022254,0.782087
0.022321,0.782548
0.022322,0.783010
0.022322,0.783472
0.022334,0.783934
0.022384,0.784395
0.022432,0.784857
0.022486,0.785319
0.022554,0.785780
0.022558,0.786242
0.022571,0.786704
0.022572,0.787165
0.022693,0.787627
0.022819,0.788089
0.022859,0.788550
0.022861,0.789012
0.022872,0.789474
0.023208,0.789935
0.023391,0.790397
0.023495,0.790859
0.023569,0.791320
0.023596,0.791782
0.023609,0.792244
0.023616,0.792705
