edge,bet_cen_edge
'(6635, 7037)',0.046176644417513145
'(7135, 1942)',0.002466091245376079
'(7117, 7197)',0.0006306292592085167
'(2327, 6939)',0.002466091245376079
'(6388, 7152)',0.0045147920297481815
'(7113, 6125)',0.0033750005245496207
'(929, 7096)',0.002466091245376079
'(7068, 3716)',0.002466091245376079
'(6854, 5223)',0.002466091245376079
'(6568, 6933)',0.004262955013286125
'(7049, 7062)',0.003075797300768664
'(6717, 7169)',0.002466091245376079
'(6676, 6806)',0.002466091245376079
'(6960, 2874)',0.002466091245376079
'(6854, 5139)',0.002466091245376079
'(6834, 7143)',0.0020720159182762835
'(6911, 7015)',0.0043478552499655945
'(108, 6714)',0.03349038261856801
'(6854, 7071)',0.0097677395497971
'(6779, 1421)',0.0024660912453760794
'(7033, 3931)',0.002466091245376079
'(6564, 6760)',0.002463046688283022
'(6732, 7075)',0.006142768464091023
'(6704, 6708)',0.002466091245376079
'(6639, 7204)',0.12566491595335091
'(7143, 7144)',0.0021277925661875793
'(6982, 7141)',0.002466091245376079
'(6388, 6092)',0.0024338372566437933
'(7100, 7101)',0.03262354009437257
'(6826, 6873)',0.0016449879937587045
'(6460, 6198)',0.0002080447346922207
'(4174, 7099)',0.002331069985927715
'(6830, 6916)',0.0014133383245657583
